fielddate	CPI_M_CHI	WAG_M	WAG_C_M	IP2_EA_M	UNEMPL_M_SH	RTRD_M_DIRI	RTRD_M	INVFC_M	IM_T_M	USD	EUR	RTS_LAST_VALUE	RTS_CLOSE_MEAN	RTS_TRADING_VOLUME_MEAN	DEP_FIZ	IPOT_CNT	IPOT_VOLUME	IPOT_DEBT
2009-03	101.3	191.03	18129.0		9.2	239.3	1151.3	457.9	14.2	34.657685	45.246475	689.63	653.0433333333335	5898476.19047619		18542.0	23330.0	8135.0
2009-04	100.7	188.35	18009.0		8.8	237.3	1159.1	485.0	14.1	33.58326363636365	44.27977272727273	832.87	789.694090909091	5295188.454545454		26695.0	32453.0	9325.0
2009-05	100.6	187.22	18007.0		8.5	240.7	1175.1	562.5	13.1	31.994804999999996	43.58301	1087.59	969.9047368421052	8261412.368421053		34514.0	41733.0	9054.0
2009-06	100.6	199.02	19247.0		8.3	241.6	1187.1	674.6	14.7	31.058	43.530735	987.02	1051.7366666666667	12225862.476190476		43731.0	52363.0	11641.0
2009-07	100.6	194.24	18872.0		8.1	246.9	1220.1	633.4	15.2	31.50815217391305	44.355730434782615	1017.47	943.7378260869564	6507338.739130435		54201.0	63288.0	12777.0
2009-08	100.0	189.19	18335.0		7.9	250.9	1229.7	675.8	14.8	31.649661904761913	45.09494761904762	1066.53	1057.3666666666668	8744047.238095239		64432.0	73730.0	13913.0
2009-09	100.0	194.3	18838.0		7.6	250.4	1234.9	751.8	16.8	30.85668636363637	44.87104545454545	1254.52	1186.416818181818	10763477.954545455		76377.0	86158.0	15379.0
2009-10	100.0	193.72	18798.0		7.7	258.6	1275.6	771.9	18.4	29.463986956521744	43.64064347826087	1348.54	1378.356818181818	15945813.181818182		90937.0	101382.0	16494.0
2009-11	100.3	197.4	19215.0		8.2	256.1	1266.9	831.3	18.4	28.903489473684214	43.12108421052632	1374.93	1412.7130000000002	429393173.4		105380.0	116896.0	17367.0
2009-12	100.4	245.37	23827.0		8.2	308.0	1529.9	1365.4	20.6	29.958934782608697	43.836217391304345	1444.61	1411.16	342387973.0		128004.0	142968.0	18526.0
2010-01	101.6	188.2	18938.0		9.0	239.0	1193.6	331.7	11.1	29.83873125	42.57379375000001	1473.81	1519.8873333333333	463829949.0		7354.0	8016.0	19099.0
2010-02	100.9	188.38	19017.0		8.5	231.4	1163.9	421.2	15.2	30.157968421052637	41.306778947368436	1410.85	1415.0089473684209	383447082.05263156		20827.0	23154.0	19858.0
2010-03	100.6	202.51	20589.0		8.5	250.4	1268.2	489.7	18.4	29.559395238095238	40.13002380952381	1572.48	1516.435	380671360.6818182		39795.0	46163.0	20773.0
2010-04	100.3	199.88	20358.0		8.1	251.9	1280.3	527.2	18.9	29.193236363636366	39.22971363636363	1572.84	1617.5627272727274	391892225.0		61322.0	72265.0	21593.0
2010-05	100.5	198.28	20279.0		7.2	257.9	1317.6	642.2	19.1	30.43492105263158	38.263473684210524	1384.59	1391.6205263157894	583467362.4210526		81715.0	97227.0	22414.0
2010-06	100.4	212.36	21795.0		6.7	261.0	1336.6	793.1	19.3	31.17433809523809	38.10896666666666	1339.35	1382.2547619047618	496488430.38095236		105624.0	125900.0	22279.0
2010-07	100.4	207.05	21325.0		6.8	268.8	1380.8	683.5	20.8	30.679113043478264	39.07175217391305	1479.73	1402.1368181818182	526696334.77272725		131331.0	157548.0	23358.0
